"Record Type","Name","Prompt Text","Description","Model / Motion Effect","Tool Type","Generation Style","Visual Subject","Category","Preset","Aspect Ratio","Duration (s)","Quality","Badges","Word Count","Char Count","Confidence","Site Section","Extraction Source","Sample Media URL","Source Page URL"
"Preset / Effect","Sketch","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/6377b231-5cea-4259-8a6b-0314728c1982"
"Preset / Effect","Acid","","","Mixed Media","Mixed Media Preset","Glitch / Experimental","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/b501a54d-7c2a-42f8-a47d-484cbdace0a6"
"Preset / Effect","Two color","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/ac3612ce-b1c9-4034-a04b-b46732c2d7a3"
"Preset / Effect","Bubbles","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/dacdca94-27b2-417a-bc8c-6d4168e6109a"
"Preset / Effect","Overexposed","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/1c79bffd-0839-42c3-90ab-2cd7e6ff4619"
"Preset / Effect","Akrill","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/73f9e01d-eb92-41d6-9119-53cc2686ecfa"
"Preset / Effect","Random Glow","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/f1706661-007e-424b-8734-b755d602d580"
"Preset / Effect","Windows","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/4f7a1589-c604-44e5-b0ec-bc87d3929906"
"Preset / Effect","Magazine","","","Mixed Media","Mixed Media Preset","Fashion / Editorial","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/963c3300-8967-4880-b078-c956de4c1e12"
"Preset / Effect","Comic","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/94cd1315-c820-4314-806d-f1b0936e8a46"
"Preset / Effect","Cold vision","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/d6ebc1b1-55b0-4379-8276-b46d47d8b056"
"Preset / Effect","Layer mixed media","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/6ff15c8c-de78-459e-af32-e7a1266dc075"
"Preset / Effect","Toxic","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/fd3ca94d-6c3d-443f-970b-a4e8dd7338da"
"Preset / Effect","Cannabis","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/c90cd302-d409-48fd-8643-36c34d7798e4"
"Preset / Effect","Noir","","","Mixed Media","Mixed Media Preset","Noir / Moody","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/c92d1f34-8bc3-410a-99c4-4b8f387140ec"
"Preset / Effect","Flash comic","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/3fbd5057-50e1-4d1d-9a6f-8655836711b8"
"Preset / Effect","Origami","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/8c88dac7-0314-40b4-b611-5dcd3fda004d"
"Preset / Effect","LSD","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/c2b241c5-5239-4465-869f-fef60a06822e"
"Preset / Effect","Fragments","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/525fc0d7-abf1-49e5-a3e6-2f97eb50973c"
"Preset / Effect","Ultraviolet","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/c9682e42-9891-4118-86bb-f8cf79c84055"
"Preset / Effect","Vintage","","","Mixed Media","Mixed Media Preset","Retro / VHS / Analog","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/ee12f76c-ed17-4471-bf2e-52bda1bcae64"
"Preset / Effect","Particles","","","Mixed Media","Mixed Media Preset","","Abstract / Texture","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/386ebb9d-643f-4108-a12f-3f867f18fb36"
"Preset / Effect","Modern","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/9196d356-1406-43ef-bc68-cb26e7eaf507"
"Preset / Effect","Marble","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/ff617894-b1bc-4931-85b3-1e5b159d2106"
"Preset / Effect","Lava","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/bb33da96-918c-4754-ba55-6d0dcbaf5173"
"Preset / Effect","Tracking","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/9fa35d36-e5f4-4488-9068-8813bd232a22"
"Preset / Effect","Paper","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/f63bf420-f98a-44e6-ba54-3f7eaa599d40"
"Preset / Effect","Ocean","","","Mixed Media","Mixed Media Preset","","Landscape / Nature","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/19115d24-276e-4222-a23f-39cc23d9a326"
"Preset / Effect","Multiverse","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/c38c2630-3986-4e28-858f-596fd254e5e9"
"Preset / Effect","Canvas","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/1a722581-6ba0-48b2-b990-a177a3f26cc8"
"Preset / Effect","Broken mirror","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/5d89951e-ac83-4c7f-ac47-4d8db50c835e"
"Preset / Effect","Hand paint","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/ad8401a0-39a2-4c95-b65e-1634d41378ab"
"Preset / Effect","Palette","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","High","mixed-media-presets","catalog_page","","https://higgsfield.ai/mixed-media-presets/preset/15b97a49-9912-4a58-8424-b4ef1c302a05"
"Preset / Effect","Through Object In","","Moves the camera inward through an object to focus on the subject behind it. Perfect for creative reveals and smooth, immersive transitions.","Wan 2.5","Motion Effect Preset","","People / Portrait; Product / Object","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/2b353671-da2e-4c9e-841d-b7af200ceadb"
"Preset / Effect","Ski Powder","","Captures a skier cutting through deep snow with soft, explosive bursts. Dreamy and powerful, with a sense of freedom.","Wan 2.5","Motion Effect Preset","","","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/fbed32dc-6596-4abb-891e-73bfc21c8996"
